workflow	classifier	run_name	n_taxa_found	taxa_found
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	8	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax
multi_assembly	kraken	spikein_multi_flye_medaka_panel3_20260417_151431	11	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 398.1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax
multi_assembly	kraken	spikein_multi_flye_panel2_20260417_151425	11	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 3D7; Plasmodium falciparum NF54; Plasmodium vivax
multi_assembly	kraken	spikein_multi_flye_panel3_20260417_151431	13	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 398.1; Plasmodium falciparum 58.1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax
multi_read	kraken	spikein_multi_read_panel2_20260417_151425	38	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium chabaudi; Plasmodium chabaudi adami; Plasmodium coatneyi; Plasmodium falciparum; Plasmodium falciparum 326.1; Plasmodium falciparum 327.1; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium falciparum 397.1; Plasmodium falciparum 398.1; Plasmodium falciparum 3D7; Plasmodium falciparum 58.1; Plasmodium falciparum NF54; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium ovale; Plasmodium praefalciparum (nom. ined.); Plasmodium reichenowi; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium vivax
multi_read	kraken	spikein_multi_read_panel3_20260417_151431	25	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium falciparum; Plasmodium falciparum 3D7; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium ovale; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vivax; Plasmodium yoelii
multi_read	metabuli	spikein_multi_metabuli_panel2_20260417_151437	26	NW_001852031.1 synthetic child of taxid 5855: NW_001852031.1 Plasmodium vivax scf_4309 genomic scaffold, whole genome shotgun sequence; Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium chabaudi chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium falciparum; Plasmodium falciparum 3D7; Plasmodium gaboni; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei vinckei; Plasmodium vivax; Plasmodium yoelii
multi_read	metabuli	spikein_multi_metabuli_panel3_20260417_151437	23	NW_001852031.1 synthetic child of taxid 5855: NW_001852031.1 Plasmodium vivax scf_4309 genomic scaffold, whole genome shotgun sequence; Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium falciparum; Plasmodium falciparum 3D7; Plasmodium gaboni; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei vinckei; Plasmodium vivax
multi_read	metabuli	spikein_single_metabuli_panel1_20260417_151437	10	NW_001852031.1 synthetic child of taxid 5855: NW_001852031.1 Plasmodium vivax scf_4309 genomic scaffold, whole genome shotgun sequence; Plasmodium; Plasmodium (Plasmodium); Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium vivax
single_assembly	kraken	main_run	0	
single_read	kraken	main_run	0	
single_read	kraken	spikein_single_read_20260417_151414	23	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium coatneyi; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium ovale; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium vivax; Plasmodium yoelii
